year_joined.bucket,tenure,mean_prop
"(2004,2009]",1825,0.588761646
"(2004,2009]",1826,0.437009175
"(2004,2009]",1827,0.46686316
"(2004,2009]",1828,0.550278164
"(2004,2009]",1829,0.48823104
"(2004,2009]",1830,0.562498609
"(2004,2009]",1831,0.418224573
"(2004,2009]",1832,0.423675618
"(2004,2009]",1833,0.437636132
"(2004,2009]",1834,0.471245972
"(2004,2009]",1835,0.393747033
"(2004,2009]",1836,0.320885135
"(2004,2009]",1837,0.488492014
"(2004,2009]",1838,0.532458853
"(2004,2009]",1839,0.472016369
"(2004,2009]",1840,0.338641562
"(2004,2009]",1841,0.485602163
"(2004,2009]",1842,0.498692399
"(2004,2009]",1843,0.404551834
"(2004,2009]",1844,0.435907702
"(2004,2009]",1845,0.309689933
"(2004,2009]",1846,0.486804178
"(2004,2009]",1847,0.620731476
"(2004,2009]",1848,0.3461779
"(2004,2009]",1849,0.441308777
"(2004,2009]",1850,0.515225145
"(2004,2009]",1851,0.342823028
"(2004,2009]",1852,0.560068931
"(2004,2009]",1853,0.495295275
"(2004,2009]",1854,0.461279865
"(2004,2009]",1855,0.404447947
"(2004,2009]",1856,0.413348211
"(2004,2009]",1857,0.41950119
"(2004,2009]",1858,0.443275818
"(2004,2009]",1859,0.396511084
"(2004,2009]",1860,0.480510049
"(2004,2009]",1861,0.533251525
"(2004,2009]",1862,0.521189029
"(2004,2009]",1863,0.463340562
"(2004,2009]",1864,0.55044234
"(2004,2009]",1865,0.616040779
"(2004,2009]",1866,0.428865099
"(2004,2009]",1867,0.365025482
"(2004,2009]",1868,0.55318382
"(2004,2009]",1869,0.448865105
"(2004,2009]",1870,0.566066821
"(2004,2009]",1871,0.406716963
"(2004,2009]",1872,0.607215314
"(2004,2009]",1873,0.395623852
"(2004,2009]",1874,0.365306924
"(2004,2009]",1875,0.539698813
"(2004,2009]",1876,0.410658317
"(2004,2009]",1877,0.374900099
"(2004,2009]",1878,0.491707934
"(2004,2009]",1879,0.428815795
"(2004,2009]",1880,0.492393343
"(2004,2009]",1881,0.450225051
"(2004,2009]",1882,0.506386303
"(2004,2009]",1883,0.448143929
"(2004,2009]",1884,0.548513074
"(2004,2009]",1885,0.434793044
"(2004,2009]",1886,0.264561606
"(2004,2009]",1887,0.484438635
